window_start,window_end,symbol,avg_price,total_volume,buy_volume,sell_volume,high,low,open,close
2026-05-05 12:06:15,2026-05-05 12:06:20,SOLUSDT,84.95714285714284,3.468,0.517,2.951,84.96,84.95,84.95,84.96
2026-05-05 12:06:15,2026-05-05 12:06:20,XRPUSDT,1.40738,346.6,117.0,229.6,1.4074,1.4073,1.4073,1.4074
2026-05-05 12:06:15,2026-05-05 12:06:20,BNBUSDT,628.1495454545453,2.381,0.909,1.472,628.15,628.14,628.15,628.15
2026-05-05 12:06:15,2026-05-05 12:06:20,BTCUSDT,81003.995,0.02173,0.00571,0.01602,81004.0,81003.99,81003.99,81003.99
2026-05-05 12:06:20,2026-05-05 12:06:25,ETHUSDT,2378.810491803277,1.4757999999999984,0.0183,1.4574999999999985,2378.9,2378.73,2378.9,2378.73
2026-05-05 12:06:20,2026-05-05 12:06:25,SOLUSDT,84.955,1.593,0.982,0.611,84.96,84.95,84.96,84.96
2026-05-05 12:06:25,2026-05-05 12:06:30,XRPUSDT,1.4074,43.8,43.8,0.0,1.4074,1.4074,1.4074,1.4074
2026-05-05 12:06:25,2026-05-05 12:06:30,BTCUSDT,81004.0,0.00038,0.00038,0.0,81004.0,81004.0,81004.0,81004.0
2026-05-05 12:06:25,2026-05-05 12:06:30,BNBUSDT,628.1486363636361,2.206,1.076,1.13,628.15,628.14,628.15,628.15
2026-05-05 12:06:25,2026-05-05 12:06:30,ETHUSDT,2378.73,0.0049,0.0,0.0049,2378.73,2378.73,2378.73,2378.73
2026-05-05 12:06:20,2026-05-05 12:06:25,XRPUSDT,1.4073333333333335,151.5,106.7,44.8,1.4074,1.4073,1.4073,1.4074
2026-05-05 12:06:20,2026-05-05 12:06:25,BNBUSDT,628.1475,2.953,0.078,2.875,628.15,628.14,628.15,628.15
2026-05-05 12:06:20,2026-05-05 12:06:25,BTCUSDT,81003.99529411765,0.0441999999999999,0.0401199999999999,0.00408,81004.0,81003.99,81004.0,81003.99
2026-05-05 12:06:30,2026-05-05 12:06:35,SOLUSDT,84.96,1.765,1.765,0.0,84.96,84.96,84.96,84.96
2026-05-05 12:06:25,2026-05-05 12:06:30,XRPUSDT,1.40735,49.8,43.8,6.0,1.4074,1.4073,1.4074,1.4073
2026-05-05 12:06:30,2026-05-05 12:06:35,BTCUSDT,81003.99333333333,0.01168,0.00375,0.00793,81004.0,81003.99,81003.99,81004.0
2026-05-05 12:06:25,2026-05-05 12:06:30,BTCUSDT,81003.99411764706,0.1037,0.054189999999999995,0.049510000000000005,81004.0,81003.99,81004.0,81004.0
2026-05-05 12:06:25,2026-05-05 12:06:30,SOLUSDT,84.96,7.046,7.046,0.0,84.96,84.96,84.96,84.96
2026-05-05 12:06:25,2026-05-05 12:06:30,BNBUSDT,628.1599999999999,11.498000000000005,6.327000000000002,5.171,628.18,628.14,628.15,628.18
2026-05-05 12:06:25,2026-05-05 12:06:30,ETHUSDT,2378.7324999999996,0.398,0.1899,0.2081,2378.74,2378.73,2378.73,2378.73
